authors,Desc,book_edition,book_format,book_isbn,book_pages,rating,book_rating_count,book_review_count,title,genres,image_url
Douglas Adams,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. ""The Hitchhiker's Guide to the Galaxy""Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.""The Restaurant at the End of the Universe""Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.""Life, the Universe and Everything""The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.""So Long, and Thanks for All the Fish""Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.""Mostly Harmless""Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?Also includes the short story ""Young Zaphod Plays It Safe"".",,Paperback,9.78E+12,815 pages,4.38,252980,4679,The Ultimate Hitchhiker's Guide to the Galaxy,Science Fiction|Fiction|Humor|Fantasy|Classics,https://images.gr-assets.com/books/1404613595l/13.jpg
Richelle Mead,"Rose loves Dimitri, Dimitri might love Tasha, and Mason would die to be with Rose...Itâ€™s winter break at St. Vladimirâ€™s, but Rose is feeling anything but festive. A massive Strigoi attack has put the school on high alert, and now the Academyâ€™s crawling with Guardiansâ€”including Roseâ€™s hard-hitting mother, Janine Hathaway. And if hand-to-hand combat with her mom wasnâ€™t bad enough, Roseâ€™s tutor Dimitri has his eye on someone else, her friend Masonâ€™s got a huge crush on her, and Rose keeps getting stuck in Lissaâ€™s head while sheâ€™s making out with her boyfriend, Christian! The Strigoi are closing in, and the Academyâ€™s not taking any risks... This year, St. Vladâ€™s annual holiday ski trip is mandatory.But the glittering winter landscape and the posh Idaho resort only create the illusion of safety. When three friends run away in an offensive move against the deadly Strigoi, Rose must join forces with Christian to rescue them. But heroism rarely comes without a price...",,Paperback,9.78E+12,327 pages,4.29,283827,10591,Frostbite,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance,https://images.gr-assets.com/books/1361098960l/2282133.jpg
Elizabeth Gilbert,"A celebrated writer's irresistible, candid, and eloquent account of her pursuit of worldly pleasure, spiritual devotion, and what she really wanted out of life. Around the time Elizabeth Gilbert turned thirty, she went through an early-onslaught midlife crisis. She had everything an educated, ambitious American woman was supposed to wantâ€”a husband, a house, a successful career. But instead of feeling happy and fulfilled, she was consumed with panic, grief, and confusion. She went through a divorce, a crushing depression, another failed love, and the eradication of everything she ever thought she was supposed to be. To recover from all this, Gilbert took a radical step. In order to give herself the time and space to find out who she really was and what she really wanted, she got rid of her belongings, quit her job, and undertook a yearlong journey around the worldâ€”all alone. Eat, Pray, Love is the absorbing chronicle of that year. Her aim was to visit three places where she could examine one aspect of her own nature set against the backdrop of a culture that has traditionally done that one thing very well. In Rome, she studied the art of pleasure, learning to speak Italian and gaining the twenty-three happiest pounds of her life. India was for the art of devotion, and with the help of a native guru and a surprisingly wise cowboy from Texas, she embarked on four uninterrupted months of spiritual exploration. In Bali, she studied the art of balance between worldly enjoyment and divine transcendence. She became the pupil of an elderly medicine man and also fell in love the best wayâ€”unexpectedly. An intensely articulate and moving memoir of self-discovery, Eat, Pray, Love is about what can happen when you claim responsibility for your own contentment and stop trying to live in imitation of societyâ€™s ideals. It is certain to touch anyone who has ever woken up to the unrelenting need for change.",,Paperback,9.78E+12,334 pages,3.53,1305657,51368,"Eat, Pray, Love",Nonfiction|Autobiography|Memoir|Travel,https://images.gr-assets.com/books/1503066414l/19501.jpg
Alexandre Dumas,"Alexandre Dumasâ€™s most famous taleâ€” and possibly the most famous historical novel of all timeâ€” in a handsome hardcover volume.This swashbuckling epic of chivalry, honor, and derring-do, set in France during the 1620s, is richly populated with romantic heroes, unattainable heroines, kings, queens, cavaliers, and criminals in a whirl of adventure, espionage, conspiracy, murder, vengeance, love, scandal, and suspense. Dumas transforms minor historical figures into larger- than-life characters: the Comte dâ€™Artagnan, an impetuous young man in pursuit of glory; the beguilingly evil seductress â€œMiladyâ€; the powerful and devious Cardinal Richelieu; the weak King Louis XIII and his unhappy queenâ€”and, of course, the three musketeers themselves, Athos, Porthos, and Aramis, whose motto â€œall for one, one for allâ€ has come to epitomize devoted friendship. With a plot that delivers stolen diamonds, masked balls, purloined letters, and, of course, great bouts of swordplay, The Three Musketeers is eternally entertaining.",,Paperback,,625 pages,4.07,241297,5575,The Three Musketeers,Classics|Fiction|Historical|Historical Fiction|Adventure,https://images.gr-assets.com/books/1320436982l/7190.jpg
L. Frank Baum|W.W. Denslow,"Follow the yellow brick road! Dorothy thinks she's lost forever when a tornado whirls her and her dog, Toto, into a magical world. To get home, she must find the wonderful wizard in the Emerald City of Oz. On the way she meets the Scarecrow, the Tin Woodman and the Cowardly Lion. But the Wicked Witch of the West has her own plans for the new arrival - will Dorothy ever see Kansas again?",Penguin Popular Classics,Paperback,9.78E+12,154 pages,3.98,309018,10137,The Wonderful Wizard of Oz,Classics|Fantasy|Fiction|Childrens,https://images.gr-assets.com/books/1398003737l/236093.jpg
Margaret Wise Brown|Clement Hurd,"In a great green room, tucked away in bed, is a little bunny. ""Goodnight room, goodnight moon."" And to all the familiar things in the softly lit room -- to the picture of the three little bears sitting on chairs, to the clocks and his socks, to the mittens and the kittens, to everything one by one -- the little bunny says goodnight.In this classic of children's literature, beloved by generations of readers and listeners, the quiet poetry of the words and the gentle, lulling illustrations combine to make a perfect book for the end of the day.",60th Anniversary Edition,Hardcover,9.78E+12,32 pages,4.27,266591,5091,Goodnight Moon,Childrens|Classics,https://images.gr-assets.com/books/1439223893l/32929.jpg
Dr. Seuss,"""UNLESS someone like you...cares a whole awful lot...nothing is going to get better...It's not."" Long before saving the earth became a global concern, Dr. Seuss, speaking through his character the Lorax, warned against mindless progress and the danger it posed to the earth's natural beauty. His classic cautionary tale is now available in an irresistible mini-edition, perfect for backpack or briefcase, for Arbor Day, Earth Day, and every day.",,Hardcover,9.78E+12,72 pages,4.35,241590,3543,The Lorax,Childrens|Childrens|Picture Books|Fiction,https://images.gr-assets.com/books/1327879938l/7784.jpg
Richelle Mead,"Rose Hathaway's life will never be the same. The recent attack on St. Vladimir's Academy devastated the entire Moroi world. Many are dead. And, for the few victims carried off by Strigoi, their fates are even worse. A rare tattoo now adorns Rose's neck, a mark that says she's killed far too many Strigoi to count. But only one victim matters ... Dimitri Belikov. Rose must now choose one of two very different paths: honoring her life's vow to protect Lissaâ€”her best friend and the last surviving Dragomir princessâ€”or, dropping out of the Academy to strike out on her own and hunt down the man she loves. She'll have to go to the ends of the earth to find Dimitri and keep the promise he begged her to make. But the question is, when the time comes, will he want to be saved? Now, with everything at stakeâ€”and worlds away from St. Vladimir's and her unguarded, vulnerable, and newly rebellious best friendâ€”can Rose find the strength to destroy Dimitri? Or, will she sacrifice herself for a chance at eternal love?",,Hardcover,9.78E+12,503 pages,4.35,256884,9253,Blood Promise,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance,https://images.gr-assets.com/books/1442530605l/5996153.jpg
Wilson Rawls,"My eyes were wide, my throat dry, and my heart thumping. One judge stopped in front of Little Ann. My heart stopped, too. Reaching over, he patted her on the head.Turning to me, he asked, ""Is this your dog?""I couldn't speak. I just nodded my head.He said, ""She's a beautiful hound.""He walked on down the line. My heart started beating again.There were eight dogs left. Little Ann was still holding her own. Then there were four. I was ready to cry.--back cover","Delacorte Edition, US/CAN",Hardcover,9.78E+12,212 pages,4.05,300435,9604,Where the Red Fern Grows,Classics|Fiction|Young Adult|Childrens,https://images.gr-assets.com/books/1320521459l/526787.jpg
Pearl S. Buck,"This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.Hard times come upon Wang Lung and his family when flood and drought force them to seek work in the city. The working people riot, breaking into the homes of the rich and forcing them to flee. When Wang Lung shows mercy to one noble and is rewarded, he begins to rise in the world, even as the House of Hwang falls.",(Enriched Classics),Paperback,9.78E+12,418 pages,3.98,205238,8937,The Good Earth,Classics|Fiction|Historical|Historical Fiction|Cultural|China|Literature,https://images.gr-assets.com/books/1312497600l/1078.jpg
Thomas Hardy|Margaret R. Higonnet|Tim Dolin,"When Tess Durbeyfield is driven by family poverty to claim kinship with the wealthy D'Urbervilles and seek a portion of their family fortune, meeting her 'cousin' Alec proves to be her downfall. A very different man, Angel Clare, seems to offer her love and salvation, but Tess must choose whether to reveal her past or remain silent in the hope of a peaceful future.",,Paperback,9.78E+12,518 pages,3.78,211670,7431,Tess of the D'Urbervilles,Classics|Fiction|Literature|Romance,https://images.gr-assets.com/books/1434302708l/32261.jpg
William Shakespeare|Barbara A. Mowat|Paul Werstine|Catherine Belsey,"Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny.",Folger Shakespeare Library,Paperback,9.78E+12,298 pages,3.94,395736,6537,A Midsummer Night's Dream,Classics|Plays|Fiction|Drama|Fantasy,https://images.gr-assets.com/books/1327874534l/1622.jpg
Kahlil Gibran,"Kahlil Gibranâ€™s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.The Prophet is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibranâ€™s musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death.",,Paperback,9.78E+12,127 pages,4.23,182895,7251,The Prophet,Poetry|Philosophy|Classics|Fiction|Spirituality|Religion,https://images.gr-assets.com/books/1355046521l/2547.jpg
Marion Zimmer Bradley,"Here is the magical legend of King Arthur, vividly retold through the eyes and lives of the women who wielded power from behind the throne. A spellbinding novel, an extraordinary literary achievement, THE MISTS OF AVALON will stay with you for a long time to come....",,Paperback,9.78E+12,884 pages,4.12,173459,6066,The Mists of Avalon,Fantasy|Fiction|Historical|Historical Fiction|Mythology|Arthurian|Science Fiction Fantasy,https://images.gr-assets.com/books/1388857089l/402045.jpg
Joseph Conrad,"Dark allegory describes the narrator's journey up the Congo River and his meeting with, and fascination by, Mr. Kurtz, a mysterious personage who dominates the unruly inhabitants of the region. Masterly blend of adventure, character development, psychological penetration. Considered by many Conrad's finest, most enigmatic story.",,Paperback,9.78E+12,188 pages,3.42,347389,11294,Heart of Darkness,Classics|Fiction|Literature|Cultural|Africa|Academic|School,https://images.gr-assets.com/books/1392799983l/4900.jpg
Terry Pratchett|Neil Gaiman,"An alternative cover for this ISBN can be found hereAccording to The Nice and Accurate Prophecies of Agnes Nutter, Witch (the world's only completely accurate book of prophecies, written in 1655, before she exploded), the world will end on a Saturday. Next Saturday, in fact. Just before dinner.So the armies of Good and Evil are amassing, Atlantis is rising, frogs are falling, tempers are flaring. Everything appears to be going according to Divine Plan. Except a somewhat fussy angel and a fast-living demonâ€”both of whom have lived amongst Earth's mortals since The Beginning and have grown rather fond of the lifestyleâ€”are not actually looking forward to the coming Rapture.And someone seems to have misplaced the Antichrist . . . ",,Mass Market Paperback,9.78E+12,412 pages,4.25,378490,16449,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Fantasy|Fiction|Humor|Fantasy|Urban Fantasy,https://images.gr-assets.com/books/1392528568l/12067.jpg
Amy Tan,"In 1949, four Chinese women, recent immigrants to San Francisco, begin meeting to eat dim sum, play mahjong, and talk. United in shared loss and hope, they call themselves the Joy Luck Club. With wit and wisdom, Amy Tan examines the sometimes painful, often tender, and always deep connection between these four women and their American-born daughters. As each reveals her secrets, trying to unravel the truth about her life, the strings become more tangled, more entwined...",,Paperback,9.78E+12,288 pages,3.91,552197,7521,The Joy Luck Club,Fiction|Historical|Historical Fiction|Classics|Cultural|China|Contemporary,https://images.gr-assets.com/books/1304978653l/7763.jpg
J.R.R. Tolkien,"In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.Written for J.R.R. Tolkienâ€™s own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text in this 372-page paperback edition is based on that first published in Great Britain by Collins Modern Classics (1998), and includes a note on the text by Douglas A. Anderson (2001). Unforgettable!",,Paperback,9.78E+12,366 pages,4.26,2422848,41354,The Hobbit,Fantasy|Classics|Fiction,https://images.gr-assets.com/books/1372847500l/5907.jpg
Rick Riordan,"Percy Jackson isn't expecting freshman orientation to be any fun. But when a mysterious mortal acquaintance appears at his potential new school, followed by demon cheerleaders, things quickly move from bad to worse.In this fourth installment of the blockbuster series, time is running out as war between the Olympians and the evil Titan lord Kronos draws near. Even the safe haven of Camp Half-Blood grows more vulnerable by the minute as Kronos's army prepares to invade its once impenetrable borders. To stop the invasion, Percy and his demigod friends must set out on a quest through the Labyrinth - a sprawling underground world with stunning surprises at every turn.",,Hardcover,9.78E+12,361 pages,4.39,592128,15745,The Battle of the Labyrinth,Fantasy|Young Adult|Fantasy|Mythology,https://images.gr-assets.com/books/1518607478l/2120932.jpg
Richard Bach|Russell Munson,"This is a story for people who follow their hearts and make their own rules...people who get special pleasure out of doing something well, even if only for themselves...people who know there's more to this living than meets the eye: theyâ€™ll be right there with Jonathan, flying higher and faster than ever they dreamed.Jonathan Livingston Seagull is no ordinary bird. He believes it is every gull's right to fly, to reach the ultimate freedom of challenge and discovery, finding his greatest reward in teaching younger gulls the joy of flight and the power of dreams. The special 20th anniversary release of this spiritual classic!",pocket-book,Paperback,9.78E+12,112 pages,3.81,166770,6289,Jonathan Livingston Seagull,Fiction|Classics|Philosophy|Fantasy|Spirituality|Inspirational,https://images.gr-assets.com/books/1432222358l/71728.jpg
Jane Carruth|Rene Cloke|Lewis Carroll,"








This is an adaptation. For the editions of the original book, see here








.Alice's Adventures in Wonderland (commonly shortened to Alice in Wonderland) is an 1865 novel written by English mathematician Charles Lutwidge Dodgson under the pseudonym Lewis Carroll. It tells of a girl named Alice falling through a rabbit hole into a fantasy world populated by peculiar, anthropomorphic creatures. The tale plays with logic, giving the story lasting popularity with adults as well as with children. It is considered to be one of the best examples of the literary nonsense genre. Its narrative course and structure, characters and imagery have been enormously influential in both popular culture and literature, especially in the fantasy genre.",,Hardcover,9.78E+12,92 pages,4.03,356729,5118,Alice in Wonderland,Classics|Fantasy|Fiction|Childrens,https://images.gr-assets.com/books/1391458382l/13023.jpg
Norton Juster|Jules Feiffer,"Librarian's Note: For an alternate cover edition of the same ISBN, click here.Hailed as â€œa classic. . . . humorous, full of warmth and real inventionâ€ (The New Yorker), this beloved story -first published more than fifty years ago- introduces readers to Milo and his adventures in the Lands Beyond. For Milo, everythingâ€™s a bore. When a tollbooth mysteriously appears in his room, he drives through only because heâ€™s got nothing better to do. But on the other side, things seem different. Milo visits the Island of Conclusions (you get there by jumping), learns about time from a ticking watchdog named Tock, and even embarks on a quest to rescue Rhyme and Reason! Somewhere along the way, Milo realizes something astonishing. Life is far from dull. In fact, itâ€™s exciting beyond his wildest dreams. . . .",,Paperback,9.78E+12,256 pages,4.21,207536,8816,The Phantom Tollbooth,Fantasy|Fiction|Childrens|Classics|Young Adult,https://images.gr-assets.com/books/1438887022l/378.jpg
Jack London,"First published in 1903, The Call of the Wild is regarded as Jack London's masterpiece. Based on London's experiences as a gold prospector in the Canadian wilderness and his ideas about nature and the struggle for existence, The Call of the Wild is a tale about unbreakable spirit and the fight for survival in the frozen Alaskan Klondike.",,Paperback,9.78E+12,172 pages,3.84,276707,7928,The Call of the Wild,Classics|Fiction|Adventure|Young Adult|Animals|Historical|Historical Fiction|Literature|Academic|School|Childrens|Novels,https://images.gr-assets.com/books/1452291694l/1852.jpg
Cassandra Clare,"Danger and betrayal, love and loss, secrets and enchantment are woven together in the breathtaking finale to the #1 New York Times bestselling Infernal Devices Trilogy, prequel to the internationally bestselling Mortal Instruments series.THE INFERNAL DEVICES WILL NEVER STOP COMINGA net of shadows begins to tighten around the Shadowhunters of the London Institute. Mortmain plans to use his Infernal Devices, an army of pitiless automatons, to destroy the Shadowhunters. He needs only one last item to complete his plan: he needs Tessa Gray.Charlotte Branwell, head of the London Institute, is desperate to find Mortmain before he strikes. But when Mortmain abducts Tessa, the boys who lay equal claim to her heart, Jem and Will, will do anything to save her. For though Tessa and Jem are now engaged, Will is as much in love with her as ever.As those who love Tessa rally to rescue her from Mortmainâ€™s clutches, Tessa realizes that the only person who can save her is herself. But can a single girl, even one who can command the power of angels, face down an entire army?Danger and betrayal, secrets and enchantment, and the tangled threads of love and loss intertwine as the Shadowhunters are pushed to the very brink of destruction in the breathtaking conclusion to the Infernal Devices trilogy.",,Paperback,9.78E+12,567 pages,4.59,277242,25357,Clockwork Princess,Fantasy|Young Adult|Romance|Fantasy|Paranormal,https://images.gr-assets.com/books/1436788488l/18335634.jpg
Rick Riordan,"The heroic son of Poseidon makes an action-packed comeback in the second must-read installment of Rick Riordan's amazing young readers series. Starring Percy Jackson, a ""half blood"" whose mother is human and whose father is the God of the Sea, Riordan's series combines cliffhanger adventure and Greek mythology lessons that results in true page-turners that get better with each installment. In this episode, The Sea of Monsters, Percy sets out to retrieve the Golden Fleece before his summer camp is destroyed, surpassing the first book's drama and setting the stage for more thrills to come.",,Hardcover,9.78E+12,279 pages,4.24,613354,22330,The Sea of Monsters,Fantasy|Young Adult|Fantasy|Mythology|Fiction,https://images.gr-assets.com/books/1400602661l/28186.jpg
Dr. Seuss,"In this joyous ode to life, Dr. Seuss addresses graduates of all ages, from nursery school to medical school, and gives them the get-up-and-go to move mountains with the unrivaled exuberance and charm that have made Dr. Seuss's books favorites for years.",,Hardcover,9.78E+12,44 pages,4.35,281184,4471,"Oh, The Places You'll Go!",Childrens|Picture Books|Childrens|Fiction,https://images.gr-assets.com/books/1421708635l/191139.jpg
Gustave Flaubert|Malcolm Bowie|Margaret Mauldon|Mark Overstall,"Madame Bovary is the debut novel of French writer Gustave Flaubert, published in 1856. The character lives beyond her means in order to escape the banalities and emptiness of provincial life.When the novel was first serialized in La Revue de Paris between 1 October 1856 and 15 December 1856, public prosecutors attacked the novel for obscenity. The resulting trial in January 1857 made the story notorious. After Flaubert's acquittal on 7 February 1857, Madame Bovary became a bestseller in April 1857 when it was published in two volumes. A seminal work of literary realism, the novel is now considered Flaubert's masterpiece, and one of the most influential literary works in history.",Oxford World's Classics,Paperback,9.78E+12,329 pages,3.66,209654,8610,Madame Bovary,Classics|Fiction|Cultural|France|Literature,https://images.gr-assets.com/books/1335676143l/2175.jpg
Stieg Larsson|Reg Keeland,"The ExposeMillennium publisher Mikael Blomkvist has made his reputation exposing corrupt establishment figures. So when a young journalist approaches him with an investigation into sex trafficking, Blomkvist cannot resist waging war on the powerful figures who control this lucrative industry.The MurderWhen a young couple are found dead in their Stockholm apartment, it's a straightforward job for Inspector Bublanski and his team. The killer left the weapon at the scene - and the fingerprints on the gun point to only one direction.The Girl Who Played with FireEx-security analyst Lisbeth Salander is wanted for murder. Her history of unpredictable and vengeful behavior makes her an official danger to society - but no-one can find her. The only way Salander can be reached is by computer. But she can break into almost any network she chooses...",First US Edition,Hardcover,9.78E+12,503 pages,4.23,717071,32496,The Girl Who Played with Fire,Fiction|Mystery|Thriller|Mystery|Crime,https://images.gr-assets.com/books/1351778881l/5060378.jpg
Katherine Paterson,"Jess Aarons' greatest ambition is to be the fastest runner in his grade. He's been practicing all summer and can't wait to see his classmates' faces when he beats them all. But on the first day of school, a new girl boldly crosses over to the boys' side and outruns everyone.That's not a very promising beginning for a friendship, but Jess and Leslie Burke become inseparable. Together they create Terabithia, a magical kingdom in the woods where the two of them reign as king and queen, and their imaginations set the only limits.",,Paperback,9.78E+12,128 pages,3.98,384779,10445,Bridge to Terabithia,Young Adult|Fiction|Childrens|Fantasy|Classics,https://images.gr-assets.com/books/1327880087l/2839.jpg
Rick Riordan,"It's not everyday you find yourself in combat with a half-lion, half-human.But when you're the son of a Greek god, it happens. And now my friend Annabeth is missing, a goddess is in chains and only five half-blood heroes can join the quest to defeat the doomsday monster.Oh, and guess what? The Oracle has predicted that not all of us will survive...",,Paperback,9.78E+12,320 pages,4.34,562627,17182,The Titan's Curse,Fantasy|Young Adult|Fantasy|Mythology|Fiction,https://images.gr-assets.com/books/1361038385l/561456.jpg
Suzanne Collins,"The extraordinary, ground breaking New York Times bestsellers The Hunger Games and Catching Fire, along with the third book in The Hunger Games trilogy by Suzanne Collins, Mockingjay, are available for the first time ever in a beautiful boxset edition. Stunning, gripping, and powerful. The trilogy is now complete!",,Hardcover,9.78E+12,1155 pages,4.48,171023,6616,The Hunger Games Trilogy Boxset,Young Adult|Fiction|Fantasy|Science Fiction|Dystopia|Science Fiction,https://images.gr-assets.com/books/1360094673l/7938275.jpg
E.L. James,"When literature student Anastasia Steele goes to interview young entrepreneur Christian Grey, she encounters a man who is beautiful, brilliant, and intimidating. The unworldly, innocent Ana is startled to realize she wants this man and, despite his enigmatic reserve, finds she is desperate to get close to him. Unable to resist Anaâ€™s quiet beauty, wit, and independent spirit, Grey admits he wants her, tooâ€”but on his own terms.Â Shocked yet thrilled by Greyâ€™s singular erotic tastes, Ana hesitates. For all the trappings of successâ€”his multinational businesses, his vast wealth, his loving familyâ€”Grey is a man tormented by demons and consumed by the need to control. When the couple embarks on a daring, passionately physical affair, Ana discovers Christian Greyâ€™s secrets and explores her own dark desires.Erotic, amusing, and deeply moving, the Fifty Shades Trilogy is a tale that will obsess you, possess you, and stay with you forever.This book is intended for mature audiences.",,ebook,9.78E+12,356 pages,3.66,1602670,77053,Fifty Shades of Grey,Romance|Fiction|Adult Fiction|Erotica|Adult|Erotica|Bdsm,https://images.gr-assets.com/books/1385207843l/10818853.jpg
Charles Dickens|Philip Horne|George Cruikshank,"Named a ""national institution"" by George Orwell, Dickens offers his most popular tale, of the orphan who is reared in a workhouse and runs away to London-a novel of social protest, a morality tale, and a detective story.",Penguin Classics,Paperback,9.78E+12,608 pages,3.85,277586,6021,Oliver Twist,Classics|Fiction|Literature|Historical|Historical Fiction,https://images.gr-assets.com/books/1327868529l/18254.jpg
Jean M. Auel,"This novel of awesome beauty and power is a moving saga about people, relationships, and the boundaries of love. Through Jean M. Auel's magnificent storytelling we are taken back to the dawn of modern humans, and with a girl named Ayla we are swept up in the harsh and beautiful Ice Age world they shared with the ones who called themselves the Clan of the Cave Bear. A natural disaster leaves the young girl wandering alone in an unfamiliar and dangerous land until she is found by a woman of the Clan, people very different from her own kind. To them, blond, blue-eyed Ayla looks peculiar and ugly--she is one of the Others, those who have moved into their ancient homeland; but Iza cannot leave the girl to die and takes her with them. Iza and Creb, the old Mog-ur, grow to love her, and as Ayla learns the ways of the Clan and Iza's way of healing, most come to accept her. But the brutal and proud youth who is destined to become their next leader sees her differences as a threat to his authority. He develops a deep and abiding hatred for the strange girl of the Others who lives in their midst, and is determined to get his revenge.",,Mass Market Paperback,9.78E+12,512 pages,4.03,200505,5652,The Clan of the Cave Bear,Historical|Historical Fiction|Fiction|Fantasy|Historical|Classics|Romance|Adventure|Historical Fiction|Prehistoric|Adult|Adult Fiction,https://images.gr-assets.com/books/1385331302l/1295.jpg
Geoffrey Chaucer|Nevill Coghill,"The procession that crosses Chaucer's pages is as full of life and as richly textured as a medieval tapestry. The Knight, the Miller, the Friar, the Squire, the Prioress, the Wife of Bath, and others who make up the cast of characters -- including Chaucer himself -- are real people, with human emotions and weaknesses. When it is remembered that Chaucer wrote in English at a time when Latin was the standard literary language across western Europe, the magnitude of his achievement is even more remarkable. But Chaucer's genius needs no historical introduction; it bursts forth from every page of The Canterbury Tales.If we trust the General Prologue, Chaucer intended that each pilgrim should tell two tales on the way to Canterbury and two tales on the way back. He never finished his enormous project and even the completed tales were not finally revised. Scholars are uncertain about the order of the tales. As the printing press had yet to be invented when Chaucer wrote his works, The Canterbury Tales has been passed down in several handwritten manuscripts.",,Paperback,9.78E+12,504 pages,3.49,168744,2843,The Canterbury Tales,Classics|Fiction|Poetry|Literature,https://images.gr-assets.com/books/1261208589l/2696.jpg
James Joyce|Morris L. Ernst|John M. Woolsey,"Loosely based on the Odyssey, this landmark of modern literature follows ordinary Dubliners in 1904. Capturing a single day in the life of Dubliner Leopold Bloom, his friends Buck Mulligan and Stephen Dedalus, his wife Molly, and a scintillating cast of supporting characters, Joyce pushes Celtic lyricism and vulgarity to splendid extremes. Captivating experimental techniques range from interior monologues to exuberant wordplay and earthy humor. A major achievement in 20th century literature.",Unabridged,Paperback,9.78E+12,783 pages,3.74,95889,5644,Ulysses,Classics|Fiction|Literature|Novels,https://images.gr-assets.com/books/1428891345l/338798.jpg
James Dashner,"There are alternate cover editions for this ASIN here and here.If you ainâ€™t scared, you ainâ€™t human.When Thomas wakes up in the lift, the only thing he can remember is his name. Heâ€™s surrounded by strangersâ€”boys whose memories are also gone.Nice to meet ya, shank. Welcome to the Glade.Outside the towering stone walls that surround the Glade is a limitless, ever-changing maze. Itâ€™s the only way outâ€”and no oneâ€™s ever made it through alive.Everything is going to change.Then a girl arrives. The first girl ever. And the message she delivers is terrifying.Remember. Survive. Run.",First Edition,Hardcover,9.78E+12,384 pages,4.03,861972,52335,The Maze Runner,Young Adult|Science Fiction|Dystopia|Science Fiction,https://images.gr-assets.com/books/1375596592l/6186357.jpg
Robert Louis Stevenson,"""For sheer storytelling delight and pure adventure, Treasure Island has never been surpassed. From the moment young Jim Hawkins first encounters the sinister Blind Pew at the Admiral Benbow Inn until the climactic battle for treasure on a tropic isle, the nevel creates scenes and characters that have firetd the imaginations of generations of readers. Written by a superb prose stylist, a master of both action and atmosphere, the story centers upon the conflict between good and evil - but in this case a particularly engaging form of evil. It is the villainy of that most ambiguous rogue Long John Silver that sets the tempo of this tale of treachery, greed, and daring. Designed to forever kindle a dream of high romance and distant horizons, Treasure Island is, in the words of G. K. Chesterton, 'the realization of an ideal, that which is promised in its provocative and beckoning map; a vision not only of white skeletons but also green palm trees and sapphire seas.' G. S. Fraser terms it 'an utterly original book' and goes on to write: 'There will always be a place for stories like Treasure Island that can keep boys and old men happy.'",,Hardcover,9.78E+12,311 pages,3.83,344305,9084,Treasure Island,Classics|Fiction|Adventure|Young Adult,https://images.gr-assets.com/books/1485248909l/295.jpg
